Family;Genus;Species;SVL;Mass
Boidae;Boa;constrictor;1662;5647
Boidae;Candoia;aspera;541;293
Boidae;Candoia;bibroni;480;45.2
Boidae;Candoia;carinata;518.5;93
Boidae;Corallus;caninus;957.5;586.5
Boidae;Corallus;cookii;812;210
Boidae;Corallus;hortulanus;1021;207
Boidae;Epicrates;cenchria;888;830
Boidae;Epicrates;inornatus;1426.9;1058.9
Boidae;Epicrates;maurus;1270;1767
Boidae;Eryx;conicus;240;15.9
Boidae;Eryx;jaculus;552.5;134.5
Boidae;Eryx;johnii;820;531
Boidae;Eunectes;murinus;2088;5900
Boidae;Lichanura;trivirgata;597;170.7
Colubridae;Amphiesma;metusia;663;134
Colubridae;Amphiesma;sauteri;292.7;14
Colubridae;Apostolepis;albicollaris;267;4
Colubridae;Apostolepis;ammodites;232;2
Colubridae;Apostolepis;assimilis;228;4
Colubridae;Apostolepis;flavotorquata;460;20
Colubridae;Atractus;badius;271;8
Colubridae;Atractus;major;403;23
Colubridae;Atractus;pantostictus;269;15
Colubridae;Atractus;snethlageae;282.5;7.75
Colubridae;Bogertophis;subocularis;1200;213.4
Colubridae;Boiga;ceylonensis;360;5.9
Colubridae;Boiga;irregularis;1084;146.9
Colubridae;Boiruna;maculata;1280;823.5
Colubridae;Borikenophis;portoricensis;569.3;64
Colubridae;Chironius;exoletus;807;147
Colubridae;Chironius;flavolineatus;675;89
Colubridae;Chironius;fuscus;704.5;69.5
Colubridae;Chironius;multiventris;1695;650
Colubridae;Chironius;quadricarinatus;599;58
Colubridae;Chironius;scurrulus;1340;750
Colubridae;Chrysopelea;ornata;768;105
Colubridae;Clelia;clelia;1640.7;2050
Colubridae;Clelia;plumbea;1401;600
Colubridae;Coluber;constrictor;765;121
Colubridae;Coluber;elegantissimus;461.6;21.7
Colubridae;Coluber;flagellum;1160;322
Colubridae;Coluber;sinai;403;19.1
Colubridae;Crotaphopeltis;hotamboeia;400;13.8
Colubridae;Dasypeltis;scabra;356.7;15.7
Colubridae;Dendrelaphis;punctulatus;1006;166.3
Colubridae;Dendrophidion;dendrophis;422;20.25
Colubridae;Diadophis;punctatus;459.3;19
Colubridae;Dipsas;catesbyi;397.5;11.3
Colubridae;Dipsas;indica;308;4.5
Colubridae;Dipsas;variegata;670;46.7
Colubridae;Dispholidus;typus;856;153
Colubridae;Dolichophis;jugularis;1220.4;692
Colubridae;Drepanoides;anomalus;438.8;28.6
Colubridae;Drymarchon;corais;1249;829
Colubridae;Drymarchon;couperi;1449;1759
Colubridae;Drymobius;rhombifer;516.5;55.2
